role,index,checkpoint,lora,model_weight,clip_weight,sampler,scheduler,steps,cfg,seed,width,height,output_prefix,positive,negative
小红,1,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290201,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/01,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, lifting a covered breakfast tray with practiced confidence, steam curling around her face, proud smile, medium-wide event CG, doorway interruption framing, asymmetric composition, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,2,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290202,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/02,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, caught taste-testing a spoonful of cream, cheeks flushed, looking aside with a defensive pout, medium shot, tabletop foreground framing, natural eye-line toward viewer, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,3,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290203,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/03,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, reaching across a kitchen counter to stop a wobbling stack of plates, dynamic diagonal composition, three-quarter shot, over-shoulder discovery angle, layered foreground objects, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,4,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290204,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/04,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, presenting a freshly baked tart toward the viewer, trying to look stern while visibly pleased, low-angle competence shot, controlled perspective, readable hands and costume, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,5,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290205,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/05,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, kneading dough with rolled-up sleeves, focused eyes, flour dust suspended in warm side light, medium-long shot, window-side hesitation, strong light and shadow separation, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,6,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290206,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/06,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, opening a pantry door and discovering the viewer stealing a snack, surprised raised eyebrow and crossed arms, dynamic three-quarter shot, motion crossing the frame, clear silhouette, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,7,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290207,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/07,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, tying her apron bow before the morning shift, seen through a nearby hanging utensil foreground frame, seated compression composition, environmental props enclosing the frame, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,8,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290208,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/08,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, carrying two hot dishes through a busy kitchen, decisive stride, tail counterbalancing the movement, intimate close-up aftermath, subtle off-screen interaction and expressive eyes, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,9,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290209,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/09,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, sitting at the counter after work with a small cup of tea, embarrassed by sincere praise, shy smile, wide establishing event CG, character integrated into a lived-in interior, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小红,10,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\02_Kitchen_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290210,1216,832,DragonMaid/Unity_RPG_CG_20260829/02_Kitchen_小红/10,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, turning from the stove as the first sunlight enters, soft tired expression and quietly intimate calm, medium close-up, foreground occlusion, cinematic depth and restrained emotion, kitchen dragonmaid, adult woman, long straight red hair, cyan blue eyes, turquoise branching dragon horns, thick attached red dragon tail, brown long-sleeved maid dress, white ruffled bib apron, turquoise cuffs, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小绿,1,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\03_Parlor_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290301,1216,832,DragonMaid/Unity_RPG_CG_20260829/03_Parlor_小绿/01,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, sliding a guest ledger across the reception counter, bright welcoming grin and lively posture, medium-wide event CG, doorway interruption framing, asymmetric composition, parlor dragonmaid, adult woman, short green hair with twin-tail silhouette, green dragon horns, complete attached leafy green dragon tail, black and white maid uniform, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
小绿,2,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_public_illustrious_v4\03_Parlor_dragonmaid_illuXL_v1.1.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290302,1216,832,DragonMaid/Unity_RPG_CG_20260829/03_Parlor_小绿/02,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, balancing a tray of colorful drinks while weaving between chairs, playful confidence, motion in skirt and tail, medium shot, tabletop foreground framing, natural eye-line toward viewer, parlor dragonmaid, adult woman, short green hair with twin-tail silhouette, green dragon horns, complete attached leafy green dragon tail, black and white maid uniform, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
